漢字,読み,間違い1,間違い2,間違い3,意味。
凡ミス,ぼんみす,はんみす,ぼうみす,ぼんめす,単純なミス。
凡庸,ぼんよう,はんよう,ぼんゆう,ぼんようう,平凡なこと。
邁進,まいしん,ばいしん,まいしんん,ばいしんん,目標に向かってひたすら突き進むこと。
埋蔵,まいぞう,うめぞう,まぞう,まいそう,埋めて保存すること。
埋没,まいぼつ,うもつ,まいもつ,うめぼつ,埋もれること。
幕間,まくあい,まくま,まくかん,まくあい,演劇などで、一つの幕が閉じてから次の幕が開くまでの間の休憩時間。
末期,まつご,まっき,すえき,まつご,人間の死に際、最期のこと。※画像「末期(の水)」は「まつごの水」。
万寿,まんじゅ,ばんじゅ,よろずじゅ,まんじゅじゅ,長寿を祝う言葉。
満身創痍,まんしんそうい,まんしんきず,みつみそうい,まんしんそうき,体中が傷だらけ、または非難を浴びている状態。
身重,みおも,しんじゅう,みのしげ,みじゅう,女性が妊娠していること。お腹に子どもがいて体が重い状態。
未婚,みこん,びこん,みごん,みけん,結婚していないこと。
微塵,みじん,びじん,ちいさじん,びちり,非常に細かい粒・ごくわずかのこと。「びじん（美人）」とは異なる語。
未曾有,みぞう,みぞうう,みそう,いまだかつてない,いまだかつて起こったことがない珍しいこと。
未曽有,みぞう,みそうゆう,みそう,みぞゆう,今までにないこと。
脈診,みゃくしん,ばくしん,みょうしん,みゃくせん,脈を見る診察。
脈拍,みゃくはく,みゃくぱく,ばくはく,みゃくひょう,脈の回数。
脈々,みゃくみゃく,みゃくばく,ばくばく,みゃくやく,絶えず続くこと。
脈絡,みゃくらく,みゃくらく,ばくらく,みょうらく,つながり。
土産,みやげ,どさん,つちうまれ,どうさん,旅先などから持ち帰る贈り物。「どさん」は誤読で「みやげ」が正しい。
妙味,みょうみ,たえみ,みょうみい,みょうび,優れた味わいやおもしろみ。
睦月,むつき,もくつき,しんげつ,むつかつき,旧暦1月の別名。人々が打ち解け「むつびあう」月という意味。
名誉,めいよ,みょうよ,なよ,めいよお,誇りとなる良い評判。
面目,めんぼく,めんもく,めんぶつ,かおめ,世間に対する名誉や立場。「めんもく」も正解。
黙示録,もくしろく,もくじろく,もくしろく,黙示,キリスト教における、世界の終末と最後の審判を記した書物。隠された真実の開示。
目論見,もくろみ,めろんみ,もくがんけん,めのもくろみ,計画や企てのこと。
猛者,もさ,もうじゃ,たけもの,もうしゃ,武勇に優れた人、あるいは特定の分野で非常に実力や勢力がある人。
若しくは,もしくは,わかしくは,じゃくしくは,にゃくしくは,または・あるいはという意味の接続詞。法律文書などで「または」と使い分ける。
百舌,もず,ひゃくぜつ,ものまね,もうぜつ,小型の猛禽類の鳥。さまざまな鳥の声を真似ることから「百の舌」。
尤も,もっとも,ゆうも,ただし,まこと,確かにその通りという意味、または「ただし」という接続詞としても使われる。
弄ぶ,もてあそぶ,ろうぶ,いじぶ,ひねぶ,面白半分に扱うこと。人の気持ちや物を軽んじて扱う行為にも使われる。
紅葉,もみじ,こうよう,べにば,くれないは,秋に木の葉が赤や黄色に変わること。「こうよう」も正しいが木の種類としては「もみじ」。
木綿,もめん,きわた,もくめん,もくわた,綿花から作られる繊維・布地。「もくめん」は誤読で「もめん」が正しい。
諸刃の剣,もろはのつるぎ,しょはのつるぎ,もろはのけん,しょはのけん,一方では役に立つが、他方では大損害を被る危険があるもの。
野暮,やぼ,のぼ,やば,のば,洗練されておらず、融通が利かないこと。
弥生,やよい,いやおい,みつき,よもき,旧暦3月の別名。草木がいよいよ生い茂る月という意味。
遺言,ゆいごん,いごん,のこりこと,ゆいこと,死後のために言葉を残すこと。「いごん」は法的な表現。
憂鬱,ゆううつ,ゆうめつ,うれいうつ,ゆうこつ,気持ちが晴れず、ふさぎ込んでいる状態。難しい漢字だが読みもよく間違えられる。
遊興,ゆうきょう,ゆうこう,あそびきょう,ゆうきょうう,遊んで楽しむこと。
悠然,ゆうぜん,のんびりぜん,ゆっくりぜん,ゆうねん,落ち着いてゆったりとしている様子。「悠然と構える」などの形で使われる。
所以,ゆえん,しょい,しょい,ゆえ,理由、わけ、根拠。～となる理由。
行方,ゆくえ,いきかた,こうほう,ゆきがた,向かう先・所在・消息のこと。「こうほう」は誤読で「ゆくえ」が正しい。
輸出,ゆしゅつ,ゆうしゅつ,しゅしゅつ,ゆで,国外へ売ること。
輸入,ゆにゅう,ゆうにゅう,しゅにゅう,ゆいれ,国外から買うこと。
淀,よど,てん,たまりみず,ながれとまり,流れが止まって水が溜まること・地名にも使われる。「てん」は誤読で「よど」が正しい。
礼賛,らいさん,れいさん,らいさん,れいざん,素晴らしいものとして褒めたたえ、崇めること。
楽観,らっかん,がっかん,らくかん,らくがん,物事を良い方に考えること。
履修,りしゅう,ふしゅう,りしょう,りじゅう,学習課程を修めること。
慄然,りつぜん,ぶるぜん,おそれぜん,りつねん,恐怖や衝撃で体が震えるほどぞっとする様子。「慄然とする光景」などの形で使われる。
理不尽,りふじん,りふづん,わけふじん,りふしん,道理に合わないこと。
履歴,りれき,ふくれき,りりゃく,りせき,過去の記録。
輪郭,りんかく,わかく,りんがく,りんこく,外形の線。
輪唱,りんしょう,わしょう,りんそう,りんじょう,順に歌うこと。
輪廻,りんね,わね,りんかい,りんえ,生まれ変わり。
輪番,りんばん,わばん,りんはん,りんぼん,順番に担当。
流転,るてん,りゅうてん,ながれころがり,りゅうでん,移り変わっていくこと。
流布,るふ,りゅうふ,ながれぬの,りゅうほ,世間に広く広まること。
励行,れいこう,はげこう,れいぎょう,はげみおこない,決めたことを厳しく実行すること。
廉価,れんか,けんか,れんが,れんけ,安価なこと。
廉潔,れんけつ,けんけつ,れんきつ,れんかつ,清廉なこと。
廉恥,れんち,けんち,れんじ,れんし,恥を知ること。
廉売,れんばい,けんばい,れんうり,れんぱい,安売り。
漏洩,ろうえい,もれよう,ろうもれ,ろうせつ,秘密や情報などが外部に漏れること。「ろうせつ」とも読むが、「ろうえい」が一般的。
労資,ろうし,ろうじ,ろうしし,ろうしす,労働者と使用者（経営者）。
狼狽,ろうばい,おおかみばい,ろうはい,おおかみうろたえ,慌てふためくこと。
歪曲,わいきょく,いがみきょく,おうきょく,わいくつ,事実を意図的にゆがめること。「事実を歪曲して伝える」などの形で使われる。
若人,わこうど,わかびと,じゃくじん,わかひと,若者・青年のこと。「わかびと」「じゃくじん」は誤読で「わこうど」が正しい。
鰐,わに,がく,かわかみ,おおとかげ,熱帯の大型爬虫類。「がく」は音読みで「わに」が正しい。
藁,わら,こう,いねがら,かんそうくさ,稲などの穀物の茎を乾燥させたもの。「こう」は誤読で「わら」が正しい。
草鞋,わらじ,くさあし,そうかい,くさぐつ,わらで編んだ履物。「そうかい」「くさあし」は誤読で「わらじ」が正しい。
