k,c,w1,w2,w3,m
普及啓発,ふきゅうけいはつ,ふきゅうひらきはつ,ふきうけいはつ,ふきうひらきはつ,広く行き渡らせ、理解を深めさせること。
布石,ふせき,ぬのいし,ふいし,ぬのせき,将来のためにあらかじめ打っておく手回し。
普遍的,ふへんてき,ふべんてき,あまねてき,ふへんてきき,すべてのものに共通して当てはまる様子。
不憫,ふびん,ふびんん,かわいそう,ぶびん,哀れでかわいそうな様子。
平穏,へいおん,たいらおん,へいおんん,たいらおんん,変わったことがなく、穏やかなこと。
変貌,へんぼう,へんかお,へんぼうう,へんかおう,姿や様子がすっかり変わること。
放埓,ほうらつ,ほうらつつ,はなちらつ,ほうらつち,勝気で気まま、だらしないこと。
勃発,ぼっぱつ,おこりはつ,ぼつはつ,おこりぱつ,事件などが急に起きること。
凡例,はんれい,ぼんれい,なみれい,ぼんれいいた,本の巻頭などにある、見方や使い方の決まり。
邁進,まいしん,ばいしん,まいしんん,ばいしんん,目標に向かってひたすら突き進むこと。
埋没,まいぼつ,うめぼつ,まいもつ,うめもつ,埋もれて見えなくなること、または世間に埋もれて目立たないこと。
慇懃無礼,いんぎんぶれい,あんぎんぶれい,いんぎんぶらい,あんぎんぶらい,言葉や態度は丁寧すぎるほどだが、実は尊大で心がこもっていないこと。

